outreach_id,company_name,domain,city,state,zip,company_linkedin,has_dol,has_blog,ceo_filled,ceo_linkedin,cfo_filled,cfo_linkedin,hr_filled,hr_linkedin
0472c2a6-8177-4dfd-8cbf-6a3dd003e187,"ACCELHRATE, LLC",accelhrate.com,Washington,DC,20175,,YES,YES,YES,https://www.linkedin.com/in/kim-shanahan-485b1b,YES,https://www.linkedin.com/in/kelly-mcpherson-29925111,YES,https://www.linkedin.com/in/kelly-mcpherson-29925111
a694ca31-b59e-4439-a693-acdb84e3f93c,AIRSCHOTT INC.,airschott.com,Washington,DC,20041,,YES,YES,YES,,YES,,YES,
52b91703-31e9-4702-89ec-9dbbd6a5967b,"BABEL STREET, INC.",babelstreet.com,Washington,DC,20147,,YES,YES,YES,https://www.linkedin.com/in/korrin-glasscock-mba-shrm-scp-98713929,YES,https://www.linkedin.com/in/brian-daum-813a054,YES,https://www.linkedin.com/in/korrin-glasscock-mba-shrm-scp-98713929
032727d6-9676-4b0b-8e69-f4b791a29afb,"BETTER MORNING, INC.",bettermorninginc.com,Washington,DC,20147,,YES,YES,YES,https://www.linkedin.com/in/tusar-pattanayak-a834067b,YES,https://www.linkedin.com/in/tusar-pattanayak-a834067b,YES,https://www.linkedin.com/in/pravash-chandra-mishra-387346304
0b3d44fd-e480-4968-8642-b0f85823df8a,BRIXEN DEVELOPMENT LLC,brixendevelopment.com,Washington,DC,20175,,YES,YES,YES,https://www.linkedin.com/in/matt-bailey-9602271,YES,https://www.linkedin.com/in/matt-bailey-9602271,YES,https://www.linkedin.com/in/matt-bailey-9602271
e3379e61-64f5-44cc-a9aa-58adc588f5a5,"CONWAYSTRATEGIC, LLC",conwaystrategic.com,Washington,DC,20156,,YES,YES,YES,https://www.linkedin.com/in/agarciaditta,YES,,YES,
ccc28e4d-5e55-486a-97e4-2d1090820b15,"COOPER THOMAS, LLC",cooperthomas.com,Washington,DC,15238,,YES,YES,YES,https://www.linkedin.com/in/jeffrey-alan-mccandless-2488823,YES,https://www.linkedin.com/in/jeffrey-alan-mccandless-2488823,YES,https://www.linkedin.com/in/sheryl-tiamson-a7aa41111
cb397b61-6298-48af-95d7-1d5e9d9aab8e,"DELTAV DIGITAL, LLC",deltavdigital.com,Washington,DC,20147,,YES,YES,YES,https://www.linkedin.com/in/brandon-kidd,YES,https://www.linkedin.com/in/brandon-kidd,YES,https://www.linkedin.com/in/brandon-kidd
5b56a9aa-cd8f-4485-9b9e-43aab7a30c95,DOMINION FINANCIAL CONSULTANTS,dominionconsult.com,Washington,DC,20184,,YES,YES,YES,https://www.linkedin.com/in/harpreet-kaur-mba-mshcm-55308b169,YES,https://www.linkedin.com/in/harpreet-kaur-mba-mshcm-55308b169,YES,https://www.linkedin.com/in/harpreet-kaur-mba-mshcm-55308b169
55c2baa7-3e13-4293-afb6-fc2fb899c64f,EARTH ECHO INTERNATIONAL INC,earthecho.org,Washington,DC,20155,,YES,YES,YES,https://www.linkedin.com/in/kasey-gaylord-opalewski-94b2a8129,YES,https://www.linkedin.com/in/kasey-gaylord-opalewski-94b2a8129,YES,https://www.linkedin.com/in/seandrussell
9b5247a3-690f-4708-b04a-7092f69dc67b,"EVELYN PIERCE DESIGN STUDIO, LLC",evelynpierce.com,Washington,DC,20186,,YES,YES,YES,,YES,,YES,
34ae817c-ccd9-412e-9bdf-7552ffad3670,EVOQUA WATER TECHNOLOGIES LLC,evoqua.com,Washington,DC,15222,,YES,YES,YES,https://www.linkedin.com/in/brent-hillier-20743111,YES,https://www.linkedin.com/in/michael-bockhorst-56150a219,YES,https://www.linkedin.com/in/katie-poffenbarger-46508455
f04c337b-3a98-4ca4-b846-7c16972bd2f0,"FEDERAL EMPLOYMENT LAW TRAINING GROUP, LLC",feltg.com,Washington,DC,22802,,YES,YES,YES,https://www.linkedin.com/in/deborah-j-hopkins-b9487915,YES,https://www.linkedin.com/in/deborah-j-hopkins-b9487915,YES,https://www.linkedin.com/in/deborah-j-hopkins-b9487915
22fc4a9c-17e9-4fcd-90ae-2b647dc85dc7,FINANCIAL TECHNOLOGY ASSOCIATION,ftassociation.org,Washington,DC,20187,,YES,YES,YES,https://www.linkedin.com/in/penny-lee-dc,YES,https://www.linkedin.com/in/penny-lee-dc,YES,https://www.linkedin.com/in/penny-lee-dc
9cae4564-35c8-45ad-aa68-b4f4bdc9185d,GALT BUILDING SYSTEMS,actbuildingsystems.com,Washington,DC,22920,,YES,YES,YES,https://www.linkedin.com/in/travis-griffin-84205a56,YES,https://www.linkedin.com/in/travis-griffin-84205a56,YES,https://www.linkedin.com/in/travis-griffin-84205a56
7dc820ba-4e0b-41d9-b33c-3e84dc308493,"GREENBRIER, INC.",greenbrier.partners,Washington,DC,22902,,YES,YES,YES,https://www.linkedin.com/in/kelifazio,YES,https://www.linkedin.com/in/abramsmith,YES,https://www.linkedin.com/in/abramsmith
86afb52e-7b6e-4a2c-8402-8130ae97621b,GUARDED HORIZONS INC.,shared-horizons.org,Washington,DC,20155,,YES,YES,YES,https://www.linkedin.com/in/tresa-welch-803a9711a,YES,https://www.linkedin.com/in/ora-murray-a017392a,YES,https://www.linkedin.com/in/ora-murray-a017392a
57f4da5b-c619-43b7-b7f0-7a19338952d6,"HAND PICKED SELECTIONS, INC.",handpickedselections.com,Washington,DC,20186,,YES,YES,YES,https://www.linkedin.com/in/christopher-desor-48a207185,YES,https://www.linkedin.com/in/christopher-desor-48a207185,YES,https://www.linkedin.com/in/christopher-desor-48a207185
